LandisData "ForC Succession"

ClimateTable  << only MAT for each ecoregion
>>Time	Eco	AvgT	
>>Step		(C)	
>>-------------------------
0	eco1LOSA	2.35
0	eco1SALO	2.35
0	eco2SALO	1.25
0	eco3LOSA	1.01
0	eco3SALO	1.01
0	eco4LOSA	0.03
0	eco4SALO	0.03
0	eco5LOSA	-1.23
0	eco5SALO	-1.23
0	eco6LOSA	-0.76
0	eco6SALO	-0.76
0	eco7LOSA	-1.99
0	eco7SALO	-1.99
0	eco8LOSA	-2.25
0	eco8SALO	-2.25
0	eco9LOSA	-2.55
0	eco9SALO	-2.55
0	eco10LOSA	-2.11
0	eco10SALO	-2.11
2	eco1LOSA	3.12
2	eco1SALO	3.12
2	eco2SALO	2.45
2	eco3LOSA	2.26
2	eco3SALO	2.26
2	eco4LOSA	1.70
2	eco4SALO	1.70
2	eco5LOSA	0.98
2	eco5SALO	0.98
2	eco6LOSA	1.35
2	eco6SALO	1.35
2	eco7LOSA	0.57
2	eco7SALO	0.57
2	eco8LOSA	0.44
2	eco8SALO	0.44
2	eco9LOSA	0.24
2	eco9SALO	0.24
2	eco10LOSA	0.46
2	eco10SALO	0.46
30	eco1LOSA	3.95
30	eco1SALO	3.95
30	eco2SALO	3.29
30	eco3LOSA	3.11
30	eco3SALO	3.11
30	eco4LOSA	2.56
30	eco4SALO	2.56
30	eco5LOSA	1.85
30	eco5SALO	1.85
30	eco6LOSA	2.21
30	eco6SALO	2.21
30	eco7LOSA	1.46
30	eco7SALO	1.46
30	eco8LOSA	1.32
30	eco8SALO	1.32
30	eco9LOSA	1.13
30	eco9SALO	1.13
30	eco10LOSA	1.33
30	eco10SALO	1.33
60	eco1LOSA	4.04
60	eco1SALO	4.04
60	eco2SALO	3.38
60	eco3LOSA	3.20
60	eco3SALO	3.20
60	eco4LOSA	2.65
60	eco4SALO	2.65
60	eco5LOSA	1.95
60	eco5SALO	1.95
60	eco6LOSA	2.33
60	eco6SALO	2.33
60	eco7LOSA	1.57
60	eco7SALO	1.57
60	eco8LOSA	1.44
60	eco8SALO	1.44
60	eco9LOSA	1.25
60	eco9SALO	1.25
60	eco10LOSA	1.43
60	eco10SALO	1.43
